fecha,usd_clp,cobre_usd,eur_clp,uf_clp,oni_index,usd_clp_change_7d,usd_clp_change_30d,usd_clp_rolling_30d,cobre_change_30d,is_el_nino,is_la_nina,oni_squared
2025-07-27,955.6366666666667,4.466666666666667,1122.8233333333333,39199.28,-0.1941935483870968,-0.00794842692430131,0.026826551480832794,947.6915,0.0037453183520599342,0,0,0.0377111342351717
2025-07-28,957.82,4.46,1124.6,39194.21,-0.19870967741935486,-0.0038791534501585456,0.027307048779441345,948.5401666666668,-0.011816838995568735,0,0,0.03948553590010406
2025-07-29,969.75,4.41,1123.96,39189.14,-0.20322580645161292,0.013693618355720583,0.03822065199935776,949.7301666666666,-0.03641660597232321,0,0,0.04130072840790844
2025-07-30,970.09,4.42,1120.07,39184.08,-0.207741935483871,0.017505768827354773,0.036708914869515,950.8751666666667,-0.047413793103448176,0,0,0.04315671175858481
2025-07-31,978.07,4.42,1121.51,39179.01,-0.21225806451612905,0.030708271421495903,0.04783484390735149,952.3634999999999,-0.03703703703703698,0,0,0.0450534859521332
2025-08-01,976.8,4.38,1116.22,39173.95,-0.21677419354838712,0.02683780630105015,0.05415380630679234,954.0361666666666,-0.039473684210526216,0,0,0.0469910509885536
2025-08-02,973.6933333333333,4.366666666666666,1116.1533333333334,39168.88,-0.22129032258064518,0.021228097162594883,0.05092587595744602,955.6089444444444,-0.042397660818713434,0,0,0.048969406867846
2025-08-03,970.5866666666667,4.3533333333333335,1116.0866666666666,39163.82,-0.22580645161290325,0.015644020914503898,0.04603734000093418,957.0328333333333,-0.0515613652868554,0,0,0.050988553590010414
2025-08-04,967.48,4.34,1116.02,39158.75,-0.2303225806451613,0.010085402267649313,0.0410174743909788,958.3035,-0.05240174672489084,0,0,0.05304849115504684
2025-08-05,964.28,4.35,1115.81,39153.69,-0.23483870967741938,-0.00564062902810003,0.03591341247247137,959.4178333333333,-0.04814004376367609,0,0,0.055149219562955265
2025-08-06,966.02,4.37,1118.08,39148.63,-0.23935483870967744,-0.004195487016668609,0.036124160713902675,960.5405,-0.04166666666666652,0,0,0.057290738813735705
2025-08-07,976.42,4.34,1138.55,39143.57,-0.2438709677419355,-0.0016869958182953448,0.03843535968009526,961.7451666666667,-0.03982300884955747,0,0,0.05947304890738815
2025-08-08,971.88,4.36,1130.36,39138.51,-0.24838709677419357,-0.005036855036855026,0.028020182147050487,962.6281666666667,-0.028953229398663627,0,0,0.061696149843912605
2025-08-09,969.8,4.36,1128.77,39133.45,-0.25290322580645164,-0.003998521094937479,0.022639798382419585,963.3438333333332,-0.022421524663677084,0,0,0.06396004162330907
2025-08-10,967.72,4.36,1127.1799999999998,39144.76,-0.2574193548387097,-0.002953540126933496,0.018191765832307638,963.9201666666667,-0.004566210045662045,0,0,0.06626472424557754
2025-08-11,965.64,4.36,1125.59,39156.08,-0.26193548387096777,-0.0019018481002192056,0.014118231877868315,964.3682777777777,-0.006079027355623046,0,0,0.06861019771071801
2025-08-12,969.77,4.4,1126.07,39167.4,-0.26645161290322583,0.0056933670718049,0.016569469825884253,964.8951666666667,0.0015174506828528056,0,0,0.0709964620187305
2025-08-13,962.28,4.38,1122.85,39178.72,-0.2709677419354839,-0.0038715554543384822,0.006853400018833833,965.1134999999999,-0.00454545454545463,0,0,0.073423517169615
2025-08-14,952.37,4.42,1114.14,39190.04,-0.27548387096774196,-0.02463079412547875,-0.015353280535969072,964.6185,0.011441647597253857,0,0,0.0758913631633715
2025-08-15,954.7375,4.4175,1115.4375,39201.37,-0.28,-0.017638494464337184,-0.012103762798325812,964.2285833333334,0.014351320321469574,0,0,0.07840000000000001
2025-08-16,957.105,4.415,1116.7350000000001,39212.7,-0.2838709677419355,-0.013090327902660293,-0.008848961839175606,963.94375,0.017281105990783363,0,0,0.08058272632674297
2025-08-17,959.4725000000001,4.4125,1118.0325,39224.04,-0.287741935483871,-0.008522609845823093,-0.007558596578332133,963.7001666666667,0.016705069124423932,0,0,0.08279542143600419
2025-08-18,961.84,4.41,1119.33,39235.38,-0.29161290322580646,-0.0039352139513689766,-0.0033124820818551948,963.5936111111112,0.014570552147239235,0,0,0.08503808532778356
2025-08-19,966.24,4.39,1126.94,39246.72,-0.295483870967742,-0.0036400383596110197,0.0030589505446594334,963.6918333333332,0.008422664624808451,0,0,0.08731071800208119
2025-08-20,963.57,4.37,1122.26,39258.06,-0.29935483870967744,0.0013405661553811399,0.0021007747907026975,963.7591666666667,0.002293577981651307,0,0,0.089613319458897
2025-08-21,965.06,4.35,1125.17,39269.41,-0.3032258064516129,0.013324653233512063,0.008791093921496795,964.0395,-0.013605442176870874,0,0,0.091945889698231
2025-08-22,968.63,4.37,1124.74,39280.76,-0.3070967741935484,0.014551120072271218,0.015974407384099054,964.5471666666667,-0.015765765765765827,0,0,0.09430842872008327
2025-08-23,967.1366666666667,4.37,1126.7733333333333,39292.12,-0.3109677419354839,0.010481260328455644,0.019186522363785263,965.1540555555555,-0.02237136465324374,0,0,0.0967009365244537
2025-08-24,965.6433333333333,4.37,1128.8066666666666,39303.48,-0.3148387096774194,0.006431485356102717,0.015109625378003422,965.6331666666666,-0.024553571428571508,0,0,0.09912341311134237
2025-08-25,964.15,4.37,1130.84,39314.84,-0.31870967741935485,0.0024016468435497096,0.011218867555132794,965.9897222222222,-0.023099850968703484,0,0,0.10157585848074922
2025-08-26,962.51,4.41,1119.59,39326.2,-0.32258064516129037,-0.00386032455704588,0.007192412737058396,966.2188333333332,-0.012686567164179152,0,0,0.10405827263267432
2025-08-27,965.01,4.41,1123.28,39337.57,-0.32645161290322583,0.001494442541797536,0.0075066296381365305,966.4585000000001,-0.011210762331838486,0,0,0.1065706555671176
2025-08-28,968.64,4.42,1126.72,39348.94,-0.3303225806451613,0.0037096139100158965,-0.001144624903325564,966.4215,0.0022675736961450532,0,0,0.10911300728407908
2025-08-29,967.48,4.38,1130.63,39360.32,-0.3341935483870968,-0.0011872438392368512,-0.002690472018060164,966.3345,-0.009049773755656076,0,0,0.11168532778355882
2025-08-30,966.7466666666667,4.3933333333333335,1130.0800000000002,39371.69,-0.33806451612903227,-0.0004032522118555537,-0.011577221807573479,965.9570555555555,-0.006033182503770718,0,0,0.11428761706555672
2025-08-31,966.0133333333333,4.406666666666666,1129.53,39383.07,-0.3419354838709678,0.00038316424628837,-0.011042861042861007,965.5975,0.0060882800608828,0,0,0.11691987513007286
2025-09-01,965.28,4.42,1128.98,39394.46,-0.34580645161290324,0.0011720168023647837,-0.008640639763375146,965.3170555555556,0.012213740458015376,0,0,0.1195821019771072
2025-09-02,968.35,4.46,1133.5,39405.85,-0.34967741935483876,0.006067469428889138,-0.002304448168805151,965.2425000000001,0.02450229709035212,0,0,0.12227429760665977
2025-09-03,974.13,4.44,1133.37,39417.24,-0.3535483870967742,0.00945067926757237,0.006873527101335375,965.4641666666666,0.023041474654378113,0,0,0.1249964620187305
2025-09-04,969.46,4.5,1130.7,39428.63,-0.3574193548387097,0.0008465477370334096,0.005371883685236778,965.6368333333334,0.034482758620689724,0,0,0.12774859521331947
2025-09-05,971.22,4.49,1131.04,39440.03,-0.3612903225806452,0.0038657129863148842,0.005382911326887729,965.8101666666666,0.027459954233409745,0,0,0.13053069719042668
2025-09-06,969.0066666666667,4.48,1130.7866666666666,39451.43,-0.36516129032258066,0.0023377375665463163,-0.007592361210681187,965.5630555555556,0.032258064516129226,0,0,0.13334276795005204
2025-09-07,966.7933333333334,4.47,1130.5333333333333,39462.83,-0.36903225806451617,0.0008074422713282292,-0.005233842312493908,965.3935,0.025229357798165042,0,0,0.13618480749219566
2025-09-08,964.58,4.46,1130.28,39474.24,-0.37290322580645163,-0.0007251781866400853,-0.00538255310373259,965.2194999999999,0.022935779816513735,0,0,0.13905681581685744
2025-09-09,967.07,4.46,1135.46,39485.65,-0.37677419354838715,-0.0013218361129756495,-0.0006716818914561662,965.1978333333334,0.022935779816513735,0,0,0.1419587929240375
2025-09-10,966.35,4.46,1132.22,39485.65,-0.3806451612903226,-0.007986613696323919,0.0007352636593347395,965.2215,0.022935779816513735,0,0,0.1448907388137357
2025-09-11,962.73,4.46,1126.92,39485.65,-0.38451612903225807,-0.006942008953437995,-0.007259453272425387,964.9868333333333,0.013636363636363447,0,0,0.14785265348595214
2025-09-12,955.47,4.52,1121.05,39485.65,-0.3883870967741936,-0.01621671711867545,-0.007076942262127406,964.7598333333334,0.031963470319634535,0,0,0.1508445369406868
2025-09-13,955.1733333333334,4.523333333333333,1120.7466666666667,39485.65,-0.39225806451612905,-0.014275787576280785,0.0029435338506393904,964.8532777777779,0.023378582202111753,0,0,0.15386638917793966
2025-09-14,954.8766666666667,4.526666666666666,1120.4433333333334,39485.65,-0.39612903225806456,-0.01232597107965172,0.000145764324399833,964.8579166666666,0.024712318430484714,0,0,0.15691821019771077
